Input.video_title,Input.stime,Input.etime
"01.1",20,180
"01.2",20,184
"01.3",9,190
"02.1",10,170
"02.2",14,175
"02.3",10,176
"03.1",19,179
"03.2",10,180
"03.3",13,183
"04.1",15,198
"04.2",10,189
"04.3",5,205
"05.1",40,220
"05.2",12,210
"05.3",18,201
"06.1",15,180
"06.2",10,180
"06.3",12,205
"07.1",6,135
"07.2",28,242
"07.3",8,195
"08.1",9,132
"08.2",7,193
"08.3",5,197
"09.1",10,216
"09.2",10,215
"09.3",7,210
"10.1",14,198
"10.2",11,195
"10.3",9,197
"11.1",14,150
"11.2",18,187
"11.3",12,172
"12.1",12,143
"12.2",11,166
"12.3",6,186
"13.1",19,202
"13.2",10,174
"13.3",10,186
"14.1",5,178
"14.2",8,169
"14.3",8,180
"15.1",14,181
"15.2",9,201
"15.3",10,210
"16.1",12,254
"16.2",8,206
"16.3",10,164
"17.1",18,195
"17.2",9,184
"17.3",10,188
"18.1",12,178
"18.2",10,173
"18.3",14,187
"19.1",18,203
"19.2",8,195
"19.3",7,180
"20.1",7,180
"20.2",8,183
"20.3",9,183
"21.1",2,210
"21.2",8,187
"21.3",7,173
"22.1",11,182
"22.2",13,192
"22.3",12,184
"23.1",8,208
"23.2",7,201
"23.3",9,195
"24.1",8,190
"24.2",10,208
"24.3",7,205
"25.1",7,194
"25.2",8,174
"25.3",7,176
"26.1",9,195
"26.2",3,185
"26.3",10,196
"27.1",7,172
"27.2",10,189
"27.3",11,195
"28.1",9,189
"28.2",11,185
"28.3",8,165
"29.1",10,179
"29.2",7,136
"29.3",10,206
"30.1",13,187
"30.2",7,182
"30.3",7,190
"31.1",10,172
"31.2",12,218
"31.3",12,160
"32.1",16,176
"32.2",10,178
"32.3",12,167
"33.1",10,180
"33.2",16,187
"33.3",10,170
