HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.vidID,Input.video_title,Input.stime,Input.etime,Input.actual_vid_duration,Input.feedback_scheme,Answer.Appeared_Engaging,Answer.Appropriate_Hand_Gesture,Answer.Browser_Name,Answer.Did_not_pause_too_often,Answer.Feedback_Scheme,Answer.Listen_Another,Answer.Maintained_Eye_Contact,Answer.No_Filler,Answer.Not_Contrived,Answer.Not_Distracted,Answer.Not_Stiff,Answer.Not_Stressed,Answer.Overall_Rating,Answer.Overall_Rating,Answer.Submit,Answer.Varied_Loudness,Answer.Varied_Pace,Answer.Video_Title,Answer.viewerDuration,Approve,Reject
3N7PQ0KLI5P6351AZ8Y2NDI7FMR3EQ,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:33 GMT 2014,14,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:35 GMT 2014,,,3YWRV122CSZBGI2WRRD56W74YLFU8S,A2MCG5W6LHSRG9,Submitted,Mon Oct 13 22:39:17 GMT 2014,Mon Oct 13 23:08:57 GMT 2014,Wed Nov 12 15:08:57 PST 2014,,,,1780,100% (12/12),100% (12/12),100% (9/9),zzXjamaDBKg,"""33.2""",16,187,171,Bars,4,6,Firefox 32,5,Bars,3,6,5,4,3,4,3,3,3,Submit Answers,3,2,,187,x,
372AGES0I457S7DT53PQT06U16HRXQ,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:33 GMT 2014,14,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:32 GMT 2014,,,34PGFRQONOBDS3NKDVPXDA1FZCGJWW,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:51 GMT 2014,Mon Oct 13 22:35:06 GMT 2014,Wed Nov 12 14:35:06 PST 2014,,Mon Oct 13 19:07:44 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1755,0% (0/48),0% (0/48),0% (0/48),7GLAPOjK7hg,"""33.3""",10,170,160,None,4,5,Firefox 32,4,None,1,4,4,4,4,4,4,3,4,Submit Answers,2,4,,80.859,x,
32PT7WK7DMF1BZNA3DNIHV0MFAQ3DX,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:31 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:33 GMT 2014,,,3TS1AR6UQQEIXM0NMXQ06WA6DER7FG,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:47 GMT 2014,Mon Oct 13 22:33:41 GMT 2014,Wed Nov 12 14:33:41 PST 2014,,Mon Oct 13 19:07:40 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1674,0% (0/48),0% (0/48),0% (0/48),Zs5YMf9QKPE,"""21.2""",8,187,179,Bars,2,3,Firefox 32,4,Bars,1,4,4,2,3,2,2,2,2,Submit Answers,3,3,,20.534,x,
3WYZV0QBFJDKC0W49630TL1QJKEXBJ,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:32 GMT 2014,15,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:32 GMT 2014,,,3CN4LGXD5XOREQZZPPKHS5XCSNPY4I,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:42 GMT 2014,Mon Oct 13 22:33:16 GMT 2014,Wed Nov 12 14:33:16 PST 2014,,Mon Oct 13 19:07:40 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1654,0% (0/48),0% (0/48),0% (0/48),A7c8f_wIYcY,"""27.1""",7,172,165,Words,5,5,Firefox 32,5,Words,3,5,6,5,5,5,4,5,5,Submit Answers,4,5,,31.025,x,
3NSM4HLQNRUN79XH6A5YU20W8HTQQS,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:31 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:35 GMT 2014,,,39ZSFO5CA8W00ZYFIVAWVMGIEW5JUX,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:38 GMT 2014,Mon Oct 13 22:32:40 GMT 2014,Wed Nov 12 14:32:40 PST 2014,,Mon Oct 13 19:07:41 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1622,0% (0/48),0% (0/48),0% (0/48),AhfIxBmPOEY,"""22.2""",13,192,179,None,6,7,Firefox 32,6,None,5,5,6,6,6,7,7,6,6,Submit Answers,6,6,,35.098,x,
30ZKOOGW2W673P6JWZIX31DJWNG1A2,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:32 GMT 2014,14,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:30 GMT 2014,,,3GGAI1SQEVYUFDN0Z12OH8MTBQPMCQ,A15Q55LMYW7M1H,Submitted,Mon Oct 13 21:33:06 GMT 2014,Mon Oct 13 22:00:00 GMT 2014,Wed Nov 12 14:00:00 PST 2014,,,,1614,0% (0/0),0% (0/0),0% (0/0),SJoPiaWknkM,"""29.2""",7,136,129,Bars,3,5,Chrome 37,5,Bars,3,6,6,5,6,6,7,6,5,Submit Answers,3,5,,136.674983,x,
3D4BBDG7ZHWR67HW3HS7XPI4UAE3CX,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:30 GMT 2014,15,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:34 GMT 2014,,,358UUM7WRZ3F0C5WDSQUNLOPG3NR7I,A2WGW5Y3ZFBDEC,Submitted,Tue Oct 14 03:45:33 GMT 2014,Tue Oct 14 04:12:14 GMT 2014,Wed Nov 12 20:12:14 PST 2014,,,,1601,100% (54/54),100% (2/2),0% (0/0),uW5y0LzXG-w,"""19.2""",8,195,187,Words,7,7,Chrome 37,7,Words,7,6,7,6,6,7,6,7,6,Submit Answers,7,7,,195.016063,x,
3VDI8GSXAFTQOG37HKJMEXBU8OYG8C,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:32 GMT 2014,12,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:32 GMT 2014,,,3WRFBPLXRAOCKVCHI96N1K7ZA3UN31,A2MCG5W6LHSRG9,Submitted,Mon Oct 13 22:39:15 GMT 2014,Mon Oct 13 23:05:52 GMT 2014,Wed Nov 12 15:05:52 PST 2014,,,,1597,100% (12/12),100% (12/12),100% (9/9),01OasonAfJQ,"""25.3""",7,176,169,None,5,6,Firefox 32,6,None,5,4,6,6,6,5,6,5,5,Submit Answers,5,5,,135.784,x,
31YWE12TE0CXAOTEWPRKOJFU0UO7X8,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:31 GMT 2014,16,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:32 GMT 2014,,,33SA9F9TRXU5HN1SZUE6GUONU4KWEO,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:33 GMT 2014,Mon Oct 13 22:32:02 GMT 2014,Wed Nov 12 14:32:02 PST 2014,,Mon Oct 13 19:07:39 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1589,0% (0/48),0% (0/48),0% (0/48),3klXTD7KCK4,"""25.2""",8,174,166,Words,4,5,Firefox 32,5,Words,2,5,6,5,5,5,5,5,5,Submit Answers,5,4,,29.807,x,
32PT7WK7DMF1BZNA3DNIHV0MFAQ3DX,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:31 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:33 GMT 2014,,,3AWETUDC92SLRN8J60O40DGX30HZIE,A2WGW5Y3ZFBDEC,Submitted,Tue Oct 14 03:49:40 GMT 2014,Tue Oct 14 04:15:55 GMT 2014,Wed Nov 12 20:15:55 PST 2014,,,,1575,100% (54/54),100% (2/2),0% (0/0),Zs5YMf9QKPE,"""21.2""",8,187,179,Bars,2,5,Chrome 37,5,Bars,2,3,3,5,4,4,5,4,4,Submit Answers,4,3,,187.00875,x,
3S829FDFT21DRXUON2U6OBPQM5QXDQ,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:33 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 04:17:22 GMT 2014,,,3U5NZHP4LR2RHOVTD98H93D4TNDPH6,A2WGW5Y3ZFBDEC,Submitted,Mon Oct 13 22:40:30 GMT 2014,Mon Oct 13 23:06:32 GMT 2014,Wed Nov 12 15:06:32 PST 2014,,,,1562,100% (54/54),100% (2/2),0% (0/0),UNejc5_ELXI,"""32.1""",16,176,160,Bars,6,6,Chrome 37,4,Bars,5,6,5,5,7,6,6,6,6,Submit Answers,7,7,,176.109184,x,
3INZSNUD80QNQ1CQKMOS8838F20D9O,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:32 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 02:07:42 GMT 2014,,,3RWE2M8QWHAG33DKZMO4ZM9S7R60NF,A2X0QHIU6YXSUS,Rejected,Mon Oct 13 22:05:29 GMT 2014,Mon Oct 13 22:31:23 GMT 2014,Wed Nov 12 14:31:23 PST 2014,,Mon Oct 13 19:07:44 PDT 2014,Video_Watch_Duration_Test_Failed: You did not watch the whole video as requested in the HIT,1554,0% (0/48),0% (0/48),0% (0/48),mjrRTjxR3kE,"""30.1""",13,187,174,None,2,2,Firefox 32,3,None,1,2,2,2,2,2,3,2,2,Submit Answers,4,3,,41.618,x,
3BS6ERDL93708IASMFLGOYC6P1SD6D,30MUBYSPBN3WZDNIE1FMDWVHA8YKS0,!!!!! (8+$/Hour) Rate Public Speakers !!!!!!,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.55 ,Mon Oct 13 21:25:31 GMT 2014,13,BatchId:1698886;,1800,2592000,Tue Oct 28 03:12:36 GMT 2014,,,326O153BMIY68H11IZ9GO6Z2NPZEDK,A2WGW5Y3ZFBDEC,Submitted,Tue Oct 14 03:07:37 GMT 2014,Tue Oct 14 03:33:30 GMT 2014,Wed Nov 12 19:33:30 PST 2014,,,,1553,100% (54/54),100% (2/2),0% (0/0),yeyFGa0L0Zw,"""23.2""",7,201,194,Bars,5,6,Chrome 37,4,Bars,4,6,2,4,3,4,4,4,5,Submit Answers,5,5,,201.005983,x,
