HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.vidID,Input.video_title,Input.stime,Input.etime,Input.actual_vid_duration,Input.feedback_scheme,Answer.Appeared_Engaging,Answer.Appropriate_Hand_Gesture,Answer.Browser_Name,Answer.Did_not_pause_too_often,Answer.Feedback_Scheme,Answer.Listen_Another,Answer.Maintained_Eye_Contact,Answer.No_Filler,Answer.Not_Contrived,Answer.Not_Distracted,Answer.Not_Stiff,Answer.Not_Stressed,Answer.Overall_Rating,Answer.Positive_Body_Language,Answer.Submit,Answer.Varied_Loudness,Answer.Varied_Pace,Answer.Video_Title,Answer.viewerDuration,Approve,Reject
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3018Q3ZVOJXDEEFVJW6TM2QCG3GRAR,ANMXMEB55AGM6,Approved,Thu Sep 18 21:35:22 GMT 2014,Thu Sep 18 21:38:41 GMT 2014,Sat Oct 18 14:38:41 PDT 2014,Thu Sep 18 21:52:51 PDT 2014,,,199,100% (39/39),100% (39/39),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,7,7,Chrome 37,7,Bars,5,7,6,7,7,6,7,7,6,Submit Answers,6,6,,180.004997,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,308Q0PEVB9KMGW2713YKCFE1NRTI9H,A1SRI5PDX6WB9B,Submitted,Fri Sep 19 09:12:52 GMT 2014,Fri Sep 19 09:17:04 GMT 2014,Sun Oct 19 02:17:04 PDT 2014,,,,252,100% (4/4),100% (4/4),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,7,7,Firefox 32,7,Bars,6,7,6,3,7,7,7,7,7,Submit Answers,7,7,,180,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,320DUZ38G8TXQH9LXRPUGXFO42EJGO,A70L26UXLTGLC,Submitted,Wed Oct 01 03:38:47 GMT 2014,Wed Oct 01 03:42:11 GMT 2014,Thu Oct 30 20:42:11 PDT 2014,,,,204,0% (0/0),0% (0/0),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,7,7,Chrome 37,7,Bars,6,7,5,7,6,7,6,7,7,Submit Answers,7,5,,180.002997,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,35GMH2SV3FOD7E4R79RBOQBYQU3EO7,A2VE5IV9OD2SK1,Approved,Wed Sep 17 21:46:58 GMT 2014,Wed Sep 17 21:49:47 GMT 2014,Fri Oct 17 14:49:47 PDT 2014,Thu Sep 18 21:53:00 PDT 2014,,,169,100% (39/39),100% (36/36),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,6,6,Chrome 37,6,Bars,5,7,7,5,6,5,6,6,6,Submit Answers,6,5,,180.006997,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,37QW5D2ZRHTBW5MT1NMKGLPDCG68SX,A323WW03VM8089,Approved,Wed Sep 17 21:17:43 GMT 2014,Wed Sep 17 21:20:40 GMT 2014,Fri Oct 17 14:20:40 PDT 2014,Thu Sep 18 21:52:55 PDT 2014,,,177,100% (215/215),100% (51/51),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,6,5,Chrome 37,5,Bars,6,6,4,5,6,6,5,6,5,Submit Answers,6,6,,180.164997,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3GLB5JMZFY2KNV9TNV3JDZKBZ1IDG7,A34M93NJC830DP,Submitted,Sat Sep 20 14:51:47 GMT 2014,Sat Sep 20 14:55:46 GMT 2014,Mon Oct 20 07:55:46 PDT 2014,,,,239,100% (140/140),0% (0/0),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,4,5,Firefox 32,6,Bars,4,6,4,5,6,4,3,5,5,Submit Answers,6,6,,180,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3OWEPKL08AJAGEP5JMDS3RJCEXRN7C,AQV468FB908WI,Approved,Wed Sep 17 21:13:40 GMT 2014,Wed Sep 17 21:17:27 GMT 2014,Fri Oct 17 14:17:27 PDT 2014,Thu Sep 18 21:52:54 PDT 2014,,,227,100% (51/51),100% (51/51),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,7,6,Chrome 37,7,Bars,7,7,6,7,7,7,7,6,6,Submit Answers,7,6,,180.004997,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3UNH76FOCTCNDG06UUOS3PE9D5GMY0,A38QM2WVQ7O9MF,Approved,Wed Sep 17 18:04:59 GMT 2014,Wed Sep 17 18:07:45 GMT 2014,Fri Oct 17 11:07:45 PDT 2014,Thu Sep 18 21:52:50 PDT 2014,,,166,100% (51/51),100% (51/51),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,6,7,Chrome 37,7,Bars,6,7,5,6,7,7,7,6,7,Submit Answers,6,6,,180.000891,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3XUHV3NRVL53JEPBSV3I0N8K1F85HR,A2S96ZZ70YFPSK,Approved,Thu Sep 18 02:26:45 GMT 2014,Thu Sep 18 02:30:32 GMT 2014,Fri Oct 17 19:30:32 PDT 2014,Thu Sep 18 21:53:01 PDT 2014,,,227,100% (773/774),99% (83/84),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,5,6,Chrome 37,6,Bars,5,6,5,5,5,6,6,6,5,Submit Answers,6,5,,180.005018,,
36818Z1KV3KJ8SWZI40WGKSD0763AQ,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,3Y9N9SS8LZIJTJX5SGWZU5V2VZ6D3Y,ARX0S1CIDJLOX,Submitted,Mon Sep 22 06:25:55 GMT 2014,Mon Sep 22 06:32:16 GMT 2014,Tue Oct 21 23:32:16 PDT 2014,,,,381,100% (169/169),100% (24/24),0% (0/0),bgyyaf1nUZg,"""01.1""",20,180,160,Bars,6,7,Chrome 37,7,Bars,7,7,5,5,7,7,7,7,6,Submit Answers,7,6,,180.250356,,
38VTL6WC4AKNIPH6CT25Y384HU05YS,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,38F71OA9GU3HDPJBP4W4E47T70TFMB,A34M93NJC830DP,Submitted,Sat Sep 20 23:28:18 GMT 2014,Sat Sep 20 23:37:40 GMT 2014,Mon Oct 20 16:37:40 PDT 2014,,,,562,100% (140/140),0% (0/0),0% (0/0),LjlrX7n6wPk,"""01.2""",20,184,164,Words,7,6,Firefox 32,6,Words,6,6,5,6,6,6,6,6,6,Submit Answers,6,6,,184,,
38VTL6WC4AKNIPH6CT25Y384HU05YS,3ZG2X3MZS23OT0VDJQSC459M39Y392,Rate Public Speakers - Final Round,Watch videos of public speaking and rate the speakers' performances,talk; public speaking; video; labeling; tagging; rating,$0.45 ,Wed Sep 17 17:42:59 GMT 2014,10,BatchId:1673316;,1800,2592000,Wed Oct 01 17:42:59 GMT 2014,,,39RP059MEI0R087VK2A8VEG8SX4BMI,A38QM2WVQ7O9MF,Approved,Wed Sep 17 20:07:26 GMT 2014,Wed Sep 17 20:10:21 GMT 2014,Fri Oct 17 13:10:21 PDT 2014,Thu Sep 18 21:52:48 PDT 2014,,,175,100% (51/51),100% (51/51),0% (0/0),LjlrX7n6wPk,"""01.2""",20,184,164,Words,6,6,Chrome 37,6,Words,6,6,3,6,6,6,6,6,6,Submit Answers,6,6,,184.002139,,
