HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.vidID,Answer.summary,Approve,Reject,videoname
3SBX2M1TKDUWD4MK7E21GPZOR1GQ4U,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,3N2BF7Y2VR11RLAHKUK4HPJ74BXMHI,A25ZFH3PBOTIIW,Approved,Thu Jun 11 15:03:32 PDT 2015,Thu Jun 11 16:57:06 PDT 2015,Sun Jun 14 16:57:06 PDT 2015,2015-06-15 00:01:44 UTC,,,6814,100% (2/2),100% (2/2),100% (2/2),mkvo6NEp53g,"So, for the past two years I've been working on a digital humanities project.  The university has a collection of about 150,000 public and private letters fromWilliam Henry Seward, who was the Secretary of State to Abraham Lincoln.  These letters were collected over time by his family members, and then, in the 1960s they were donated to the university.  The way the university got in touch with these letters was, at the time, a professor, Glyndon Van Deusen, was working on a biography on Seward, and so, he got in contact with the living family members, who happened to live about an hour east of here.  And, so, the family began to trust Van Deusen and, uh, upon the death of the patriarch the letters were donated to the university.For the most part these letters have not been touched since the initial donation, and, so, the cool part about working on the project is that I'm working with letters that have not been seen by researchers before.  The letters are, umm, umm, they're in a wide range.  They're, f, the, the majority of them are from the 1860s;  which is fantastic because that's the time of the United States Civil War was going on.  And, so, there's not a lot of primary documents from this time that haven't been overly researched already.One of the coolest documents is Seward's daughter, Fanny Seward, had a diary at the time, and, so, this diary's very similar to Anne Frank's diary from World War II in that it's giving, it's providing researchers in-depth descriptions of the world of a little girl in the time of the Civil War.  Um, Fanny often describes, uh, sh, Fanny often follows around her father at the time he was Secretary of State, so, numerous, uh, extravagant events where she's meeting all sorts of politicians at the time.  And, we can see her personal views of these people who, for the most part in history, are given overly, uh, exaggerated descriptions in terms of how wonderful they are.  And, so, it's interesting to see what some, how people thought of them at the time versus how we think of them now.The project is digitizing these papers and getting them online.  We're also transcribing them because they wrote in cursive and their handwriting was not great.  And, so, the researchers that are working on the project become familiar with the handwritings and that way it'll be easier for people to just read a Word document that has everything very clearly.  The website we formatted with the scans of the original letters on one side, and then we transferred to on the other side, and that way users can look at both sides, er, look at both the original and the transcription at the same time and follow along very easily.",,,10.1
3A520CCNWN7MIQCW7OHSZBWA08PEAI,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,3E1QT0TDFQGM2RJXWBS6CJJRKJQI8M,A4TE7LF9CEVGA,Approved,Thu Jun 11 15:47:56 PDT 2015,Thu Jun 11 16:13:53 PDT 2015,Sun Jun 14 16:13:53 PDT 2015,2015-06-14 23:16:44 UTC,,,1557,100% (5/5),100% (5/5),100% (5/5),Ok1C_ahGwB0,"Thanks, I work for classroom technology services. Class tech is a division of IT where our focus is to help professors. Unlike the regular IT help desk at the IT center their mostly focused on helping students with laptop issues, usually connecting to the network or if their hard drives fail. Difference with Class tech is that we're not only helping professors outside of the classrooms but in the classrooms. In the classrooms we have a number of classroom tools such as projectors, overheads, document camera's, and we're also in charge of the facilities of the room such as the lights, temperature, cleanliness. Majority of our um calls are troubleshooting calls, and so the number of times where a professor's laptop won't project onto the system because they haven't been using the, that room lately or there is something wrong with their laptop. And so most of the time we're running around campus were on call to help their classrooms continue properly. I got involved in class tech in my sophomore year my friend told me about it and I had also been told by a former instructor that I should apply to class tech because I was always helping her set up her lectures uh just because I was familiar with the tools. One such tool that we install in most of our classrooms is a touch panel and we have a Creston programmer who creates these. The touchpanels are very useful for professors in that there very easy to use and they basically controls the room. So there's an option for lights and then when the instructor touches that option a display will come up that shows they can either have all the lights on or two-thirds, one-third in some rooms it controls sections of lights individually. That's usually in our larger lecture halls. The touch panel also gives them the ability to access all sorts of different inputs from one place. So let's say the instructor has their laptop connected but the room also has a VCR/DVD combo, it also has a document camera, and there's also a Panopto system. So from the touch panel the instructor can with the touch of a button get to each of these systems. Panopto systems are not installed in most of our classrooms it's a newer system where we can set up automatic recording or lectures. This is great for professors who are often out of town in that they can come to a classroom and record a lecture beforehand. Also, students miss a lecture then they are free to view it online through blackboard. Over the summer at classroom technology we perform a lot of system upgrades were also in charge of managing all of the computer labs on campus and so recently we installed all in one computers into all of the rooms and once physically installing them we also had to install a new image for the students to use with all of the software that's requested by professors.",,,10.2
3INZSNUD80X3L1ORJNS8XY35UE5D98,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,32VNZTT0A8BYCPZEAVW29Z4D515R40,A1FGKIKJYSL1MI,Approved,Sun Jun 14 18:57:00 PDT 2015,Sun Jun 14 19:22:16 PDT 2015,Wed Jun 17 19:22:16 PDT 2015,Mon Jun 15 07:38:02 PDT 2015,,,1516,100% (13/13),100% (13/13),100% (12/12),p7l5WuddX34,"Here at school, I'm on the club ultimate disk team. I started playing ultimate disk, or frisbee which is what it's sometimes called still, in high school, uh in intramurals. I always loved playing frisbee. It was a great way to get away while running cross-country. We would often, when going on a run, go a couple miles down the road and then when we were supposed to be running, we would wind up playing ultimate instead.  And we would come back and be all sweaty and say ""oh yeah, we definitely went for a ten mile run today, can't you tell?"" But I definitely liked that aspect of cross-country a lot more than just the running itself. And so in college I knew, instead of just running track, I wanted to play ultimate. Ultimate's a great team sport, it's seven on seven. The game begins with a pull to one side, similar to football where you have a kickoff. And then you need to slowly work the disk up the field into an endzone, again similar to football. The key is: once you catch the disk, you cannot move. You can pivot on one foot, so I'm a rightie, so I can pivot on my left foot. And then in the meantime, a defender can come up to me and they need to count to ten seconds. At the end of ten seconds, if I still have the disk, then that's called a stall. And it's overturned to the other team.  There are many kinds of posit-, well there're two main positions in frisbee, at the organized level. There's handlers and there're cutters. So the traditional format for most college teams now is to have three handlers and four cutters. Handlers are usually players who have stronger disk skills and as such they'll fulfill more of a quarterback-like role, where they'll be the ones throwing those more difficult throws. Cutters are usually faster people, or taller people. So I'm a cutter, because I'm lean and tall. And so, we'll be the ones catching the disk, similar to a wide receiver in football. Um so essentially the way the disk is usually moved up the field is a handler will throw to a cutter, and the cutter will either be cutting in toward where the handler is or cutting out on a deep cut. Since there are four cutters at a time though, y- the handler has a number of options. If during the ten second period, a handler doesn't have a good opportunity to make a throw to a cutter, then they can do what's called a swing and they can throw it to another one of their two handlers, who are often cutting around just to get into open space.  If the handler does make a successful throw to a cutter, then the cutter -- if they aren't the greatest at throwing, such as me -- ah will make what's called a dump pass, where they basically dump the disk back to a handler.  Ideally, there'll be fluid movement between the players so that a handler can make a throw to a cutter, the cutter will -- within two stalls -- throw it back to the handler and then hopefully make a deep cut after that. And the handler can throw it to them. And they'll score.",,,10.3
3PN6H8C9R4XHQKYWBT68TTEP0WNDAN,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,3OONKJ5DKDQF0BS7XIPLNI5E4YABO9,A2J5DN5UMU0A3Z,Approved,Thu Jun 11 15:40:54 PDT 2015,Thu Jun 11 16:07:27 PDT 2015,Sun Jun 14 16:07:27 PDT 2015,2015-06-14 23:11:43 UTC,,,1593,100% (25/25),100% (25/25),100% (25/25),6lmtPM-zIs4,"Okay, umm Noises Off is a 1992 onscreen and onstage comedy, originally written as a Broadway play in the mid early 80's by Michael Frayn, and adapted for screenplay by Marty Kaplan. Umm the story follows a group of some washed up stage actors as they try to put together a Broadway down production, by dealing with personal problems, bad memories, stick set malfunctions, and compass character flaws. Umm all of being not necessarily yelled at, but encouraged quite firmly by somewhat stressed director. Umm the movies you need in one sense that it shows something from the perspective of behind the scene from an actual production which is not a very common perspective in a theater or a movie. Umm, but also that it lies in a small niche which I'd like to call intelligence lab-stick where you have long scenes of well timed and detailed physical comedy sketches, but at the same time having plot threads running through the background, character development, and enough stuff going on that you can watch it over and over again, and still if not get something new out of it, at the very least enjoy it each time. The other thing that has always has stetted me about the film has curliness. No one seems to have heard of this, and this is despite not only the fact that it is incredibly good, and unique film, but the cast is almost entirely made up of famous or otherwise all known actors. The primary cast is filled by the likes of Michael Kayne, Carol Burnett, Christopher Reeve, Nicollette Sheridan, and others as well. Umm its incredibly funny, and it really is a film for those who if not a part of at least have an interest or some knowledge of the way a play or a stage is set up, because all the, not only can those people can appreciate the intricate timings, but they can also laugh hysterically at all the things that they have probably experienced going wrong themselves.",,,13.2
3DW3BNF1GHPP1D535GMO3OE1AFRV80,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,3GM6G9ZBKO4RWU1CKO1TV8MVF5GTMN,A2J5DN5UMU0A3Z,Approved,Thu Jun 11 12:07:54 PDT 2015,Thu Jun 11 14:02:35 PDT 2015,Sun Jun 14 14:02:35 PDT 2015,2015-06-14 21:06:43 UTC,,,6881,100% (25/25),100% (25/25),100% (25/25),q2iKy3GSBV0,"Okay. What if its a question you've all asked, its a question I hope we all ask regularly. Its a type of question that will drive our professors nuts, drive their students into tears, and at times drive news pundits into the bio fists of all the wall conjectures. But why don't we ask these questions more often? For some people, it's a lack of inspiration, for others its a worry that or fear that asking these strange questions will lead to strange and worrying places or places that don't make sense. So, lead to more questions that lead to more questions. Umm though wonderful book, What If? by Randall Munroe, will tell these, will give to these first group of people exactly what they need, and tell the second group of people that their fears are entirely justified, but at the same time convince them to go for it than the less. Umm as background, Randall Munroe is a formal NASA roboticist, and the Author of the famous xkcd comic strip. Umm his diverse physics background that his network of contacts gives him the ability to write a twice weekly internet column on which he answers ridiculous hypothetical what if questions by people from all over the world umm with hard science or at least as hard as the ridiculous question will allow. The book is a compilation of about half umm original content, and half rehash old favorites, umm really useful, experience such things as such questions as what happens if a baseball are magically de-pitched  at point 9 speed of light? Short answer; the chronically explosion. What would happen if you are to build a periodic table from all of the actual elements?  Short answer;' a very complicated explosion, and the discussion on when and if the world's combined computing power exceeds the combined power of the world's human grains which all put together could quite easily simulate an explosion. Umm all of these is interlaced with his intelligence sarcasm and witty drawings, umm which will have the reader laughing just as they're scratching their hair, or dropping their jaw all out. So, I encourage anyone who has a scientific mind or a mind to incur to read What If? just don't try the stuff at home, because to crook his own disclaimer despite his background, I have a guy who draws pictures on the internet. I like it when things catch fires and explode,  because this means that you do not have your best interest at heart.",,,13.3
3PUV2Q8SV4BM9U3OH764O4YVIE8DBI,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:27 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:27 PDT 2015,,,37TD41K0AIGD88C6IZ2PI7LXJ9QSC9,A1FGKIKJYSL1MI,Approved,Thu Jun 11 18:56:02 PDT 2015,Thu Jun 11 19:18:15 PDT 2015,Sun Jun 14 19:18:15 PDT 2015,2015-06-15 02:21:43 UTC,,,1333,100% (13/13),100% (13/13),100% (12/12),jeWT5JvnarA,"I just started working on the Tatech project for the robotics club, here at the university. Basically our objective is to track uh the user's motion and give them a virtual reality. So what we're using right now is ocular script uh development K1. And basically uh we're trying to make uh upper body armor to go along with the ocular script uh virt- virtual reality headset to uh have them have a tactile feedback of the actual object and touching the virtual reality. We are currently in a uh prototype phase where we actually need to make like a glove prototype, like three...vibrating sensor feedback to touch an object and made a pendulum game to actually interact with object in virtual reality space. It...and now we're trying to expand it a full upper body with multiple sensors in the hand and also in the upper body. We're also trying to make a boxing game where you can actually have feedback on your uh knuckle when you're punching someone, which is a very cool concept. And I think it's possible for us to actually do it. But the problem we came up with while working on this recently is sensor feedback and we noticed a drift in the accelerometer and the gyroscope. And we're trying to fix that with either uh having a reference point from the connect corrective or either finding an absolute sensor with the magnetometer, and having a, you know, absolute sense uh sensor. But we're still discussing that option. And we're also thinking about having a wireless option because, last time in the demo, uh, we were uh the two uh like four feet radius of the project space and that really did not go well with the judges. So we might be using syncing module to fix that problem. And we are expecting to get the budget and uh schematics from our teammates and I'm currently working on the hardware. And it will be a great year. Okay. Awesome.",,,14.1
3538U0YQ1F1E4JD7TKMOUL346ZC3FT,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:28 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:28 PDT 2015,,,37W3JXSD67FJISUKYWUFCNG1SDZWY1,A2J5DN5UMU0A3Z,Approved,Fri Jun 12 12:36:59 PDT 2015,Fri Jun 12 13:25:58 PDT 2015,Mon Jun 15 13:25:58 PDT 2015,Mon Jun 15 07:18:03 PDT 2015,,,2939,100% (25/25),100% (25/25),100% (25/25),JSeHfKLOdiw,"Okay, ready!My favorite pass time is less of pass time and more a way of life. Music has been a tremendous passion of mine for many years. When I was four years old, I decided that I wanted to play the violin. Since then, this passion for violin has developed into passions for all forms of music. In addition to the violin, I also play the saxophone. Its a fun instrument and its reminiscence of the golden age of jazz, blues, swing, big band. It's a lot of fun to play. In addition, I also play the Duduk, which is an Armenian instrument, that has this haunting tone that's kind of fun. It's a lilting haunting tone that will allow anyone to get up and dance and have fun with it. I also play the Quena, which has this haunting tone that will send chills up anyone's spine. In addition to these instruments, I play the Piano, which is an older instrument. I can play classical music, but I can also play signor music, pop, rock, piano has gained its place among the big rock instruments. Uhh, the most famous example of this would probably me the union wraps put in my queen with its notable piano inter-booths. Another popular instrument for rock and pop that I play is the Guitar. Guitarist tend to be most easily recognizable to the people of this generation. I play the percussion, you can set a perfect beat, any anyone can follow onto it. I sing, granted singing is limited by the range of my vocal, of my voice, and its also limited by the words that I can come up with. However, I can still move people through the use of my own voice as opposed to anything else. Moving into the newer age, I can play rock style pieces, I can play guitar, bass guitar, electric violin, electric piano, and that appeals to a younger generation. You play a commonly known riff on a guitar or on the piano, and everyone instantly wants to sing along. So, I am able to move people of a younger generation, but the youngest generation is one of electronic music. This is a generation of dub-step and synthesized music. As much as I just like dub-step and synthesized music, I can also play a couple of synthetic music. I am able to play music on my computer in real time using a programming language called Chuck. I can also play an unusual electronic instrument called [??]  which uses a unique system of notes whereas one key does not represent a single note, it actually represents an interval plus a half step minus a half step, you get the idea. I am able to move people to a motion regardless of their age or cultural background.I can move people through music. Thank you!   PS: My apologies, there was this one word which I could not understand at all and have put in square brackets. Sorry about that. Thank you!",,,15.3
301KG0KX9CS9XX8UKAWJEWAPG0PH2U,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:28 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:28 PDT 2015,,,3RGU30DZTBFXIR578UNPT2ZMH3MJM5,A2J5DN5UMU0A3Z,Approved,Thu Jun 11 11:12:37 PDT 2015,Thu Jun 11 13:06:06 PDT 2015,Sun Jun 14 13:06:06 PDT 2015,2015-06-14 20:06:44 UTC,,,6809,100% (25/25),100% (25/25),100% (25/25),ydVM-IuIBWU,"Facebook is a great way.Not yet. Oh shit. Facebook is a great way to share you feelings with your friends, connect with old friends, and make new friends. However, there is some inpersonalization caused by using a computer, and not being on to have face to face in their interactions. You can share information freely, you can post pictures, share your emotions, share old memories all for free online with no cost and no real struggle, you can do all of it from the comfort of your home. You can meet your old friends online by searching up your high school, checking up for your graduation, and you can see how people live their lives over the past few years and reform all friendships. You also can meet new friends through mutual friendships. You can find people that you never knew, and find new perceptions from them and become friends and form a friendship. However, the impersonalisation makes it easy for people to use Facebook for recreational purposes. They can create, make a sad status into when its a funnier joke just by a play of words, it can get a little picky about the grammar, all because they're not actually there. Its just one computer talking to another computer, and not two people talking to another person. So, the impersonalisation makes Facebook not the ideal form of social interaction. Facebook also make the rise in social media usage has also, I mean living given to a rise in identity theft, and the lack of security when Facebook is its kinda difficult to use. Well informed users can protect their information, but the default setting for Facebook allows all images to be seen by anyone. You could see people's email address, you can see their phone numbers, sometimes their address even, all just you don't even have to be friends with them, you don't have to live in their area. So this is not the best system. It makes it too easy for people to harass other people without having to meet them. Straight interest can stalk your profile, even people in your own community can follow you and see your images and see where you are and what you're doing, and how you are feeling, and they never have to meet you. It takes away the fundamental part of human interaction and makes it not a completely different way of socializing. Facebook is very useful for connecting with people. Its messenger is very helpful, you can video chat, you can connect with people all the way across the world, and that's very nice, but there are some downsides to Facebook, and those in degree people into notice that this isn't ideal that there needs to be a better way to talk to other people.  Alright, I was just wrapping up.",,,16.2
3NCN4N1H1GOVV6U161K7K9APWIANBA,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:28 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:28 PDT 2015,,,340UGXU9DZ8PMUAAYLSUN0RAPC9UV6,A2J5DN5UMU0A3Z,Approved,Thu Jun 11 14:42:08 PDT 2015,Thu Jun 11 15:07:33 PDT 2015,Sun Jun 14 15:07:33 PDT 2015,2015-06-14 22:11:43 UTC,,,1525,100% (25/25),100% (25/25),100% (25/25),BhHMWLlrfdY,"Okay, for our Science Fair Project this year, me and my partner performed Liquid Column Chromatography. Column Chromatography is when a sample is run through filter paper to separate the various flower pigments in that sample, so that we can identify what is used most commonly in that for a species. For our sample, we chose three native plants, The Plumeria, The Hibiscus, and The Heliconia. These plants are all very iconic Hawaiian plants, and we chose them because of that. We chose them because they are very iconic. For our experiment, we ground up pieces of this plant umm first experiment we grounded up the petals of each of these plants to identify what was inside. We ground them up using a mortal and pestle and a knife. We cut them up, and then we ground them up into small pieces. We mix this in with our eluant called ether too which attach on to the flower pigments, and remove the pigments from the leaf sample. Then, we filter this to ensure that we only have got a pure solution of just the pigments, and we filtered out the pulpy mixture that was the flower and sample. Then, we placed the sample in mason jars in a sealed, sealed mason jar with a filter piece of, uhh piece of filter paper inside where a capillary action allowed the sample to rise and separate into the various pigments. Uhh the separation revealed various pigments which I don't remember the names of, because I did Science Fair in like 8 months ago. But, we were very surprised, because Hibiscus contained a photosynthetic pigment which again I don't remember, and which revealed that Hibiscus may perform fluoro photosynthesis, which is when the flower itself before it's photosynthesis providing not only uhh fertilization for the plant, but also energy for the plant, and this is very interesting for our study.",,,16.3
3L55D8AUFA48HAQLR3PDC9EEINEYCI,3554GQY3BJ4NEJH1Y2W3HM8TVMASLI,!!!$6/HOUR!!! Transcribe 5 minute Audio Files,Transcribe a short audio clip,"transcribe, video, audio",$2.50,Thu Jun 11 11:03:28 PDT 2015,1,BatchId:1977305;,7200,259200,Thu Jun 18 11:03:28 PDT 2015,,,34T446B1C1LD7ZSU9XJ581FEOON0CO,A1FGKIKJYSL1MI,Approved,Sun Jun 14 18:37:11 PDT 2015,Sun Jun 14 18:56:45 PDT 2015,Wed Jun 17 18:56:45 PDT 2015,Mon Jun 15 07:43:29 PDT 2015,,,1174,100% (13/13),100% (13/13),100% (12/12),dYpqOHPxJEo,"So, I think the future is going to be a very exciting time. Uh recently Apple has announced their use of an IWatch and I think that, while not necessarily being the next big thing, marks a keystone achievement into technology and society. First time I see wearables, and this integration of technology into a much more personal level than simply our phones or our computers at home. We're starting to see that we can use technology everywhere, which there already is everywhere, in a sense, integrating into our daily lives to help us do what we need to do on a day to day basis, and the other things that we might not even be familiar with, things that we might need to do once in a lifetime. I think we're going to see a expansion of wearables and technology integrate into our um products we use every day, like washers, dryers, even your refrigerator. I am personally looking forward to a future where your refrigerator that's always fully stocked by itself. I think these innovations like this while they may, at first, seem to apply to only first-world applications will lead to technologies that can help everyone, around the world. Because you'll be able to perform services to test when there's not even enough people or enough resources, but still be able to uh help those who need help.  Um, I think that in the future, we're going to see things like self-driving cars, and robotic chefs and all sorts of crazy things that we can't really predict yet. But, though, they'll be there because there's this unstoppable march forward of of time and of progress. Especially in first-world countries such as uh America or Japan surprisingly at the forefront of technology. Um, it's that this progress has been shown if you look at the things like the adaptions of home computers, and smart phones, and anything like that, that there is a market. And people will buy these things, and other people will definitely develop them. That's all my time.",,,17.1
